No.,Timestamp,Source,Destination,Protocol,Length,TimeToResp,Ratio,ActionType
0,1603543266733,127.0.0.1,127.0.0.1,TCP,2,274,0.0,2
1,1603543266772,127.0.0.1,127.0.0.1,TCP,2,38,0.0,4
2,1603543266774,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
3,1603543266778,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
4,1603543266792,127.0.0.1,127.0.0.1,TCP,2,13,0.0,2
5,1603543266794,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
6,1603543266796,127.0.0.1,127.0.0.1,TCP,2,1,0.0,4
7,1603543266798,127.0.0.1,127.0.0.1,TCP,2,1,0.0,4
8,1603543266818,127.0.0.1,127.0.0.1,TCP,2,19,0.0,2
9,1603543266821,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
10,1603543266823,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
11,1603543266825,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
12,1603543266838,127.0.0.1,127.0.0.1,TCP,2,13,0.0,2
13,1603543266841,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
14,1603543266845,127.0.0.1,127.0.0.1,TCP,2,4,0.0,2
15,1603543266848,127.0.0.1,127.0.0.1,TCP,2,3,0.0,4
16,1603543266852,127.0.0.1,127.0.0.1,TCP,2,4,0.0,2
17,1603543266854,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
18,1603543266857,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
19,1603543266861,127.0.0.1,127.0.0.1,TCP,11,3,1.0,5
20,1603543267042,127.0.0.1,127.0.0.1,TCP,2,181,0.0,2
21,1603543267058,127.0.0.1,127.0.0.1,TCP,11,3,1.0,5
22,1603543267063,127.0.0.1,127.0.0.1,TCP,2,5,0.0,4
23,1603543267065,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
24,1603543267081,127.0.0.1,127.0.0.1,TCP,2,16,0.0,2
25,1603543267085,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
26,1603543267087,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
27,1603543267089,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
28,1603543267113,127.0.0.1,127.0.0.1,TCP,2,24,0.0,2
29,1603543267116,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
30,1603543267119,127.0.0.1,127.0.0.1,TCP,2,3,0.0,2
31,1603543267125,127.0.0.1,127.0.0.1,TCP,2,3,0.0,4
32,1603543267153,127.0.0.1,127.0.0.1,TCP,2,27,0.0,2
33,1603543267156,127.0.0.1,127.0.0.1,TCP,2,2,0.0,4
34,1603543267159,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
35,1603543267161,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
36,1603543267172,127.0.0.1,127.0.0.1,TCP,2,11,0.0,2
37,1603543267175,127.0.0.1,127.0.0.1,TCP,11,2,1.0,5
38,1603543267179,127.0.0.1,127.0.0.1,TCP,2,3,0.0,4
39,1603543267182,127.0.0.1,127.0.0.1,TCP,2,3,0.0,4
40,1603543267192,127.0.0.1,127.0.0.1,TCP,2,10,0.0,2
