No.,Time,Source,Destination,Protocol,Length,ActionType
0,2020-10-19T17:24:37.208,127.0.0.1,127.0.0.1,TCP,43,2
1,2020-10-19T17:24:37.255,127.0.0.1,127.0.0.1,TCP,43,2
2,2020-10-19T17:24:37.270,127.0.0.1,127.0.0.1,TCP,43,2
3,2020-10-19T17:24:37.302,127.0.0.1,127.0.0.1,TCP,112,0
4,2020-10-19T17:24:37.536,127.0.0.1,127.0.0.1,TCP,141,1
5,2020-10-19T17:24:37.552,127.0.0.1,127.0.0.1,TCP,137,4
6,2020-10-19T17:24:37.552,127.0.0.1,127.0.0.1,TCP,43,2
7,2020-10-19T17:24:37.567,127.0.0.1,127.0.0.1,TCP,43,2
8,2020-10-19T17:24:37.567,127.0.0.1,127.0.0.1,TCP,43,2
9,2020-10-19T17:24:37.567,127.0.0.1,127.0.0.1,TCP,112,0
10,2020-10-19T17:24:37.786,127.0.0.1,127.0.0.1,TCP,141,1
11,2020-10-19T17:24:37.833,127.0.0.1,127.0.0.1,TCP,137,4
12,2020-10-19T17:24:37.833,127.0.0.1,127.0.0.1,TCP,43,2
13,2020-10-19T17:24:38.020,127.0.0.1,127.0.0.1,TCP,43,2
14,2020-10-19T17:24:38.051,127.0.0.1,127.0.0.1,TCP,43,2
15,2020-10-19T17:24:38.067,127.0.0.1,127.0.0.1,TCP,112,0
16,2020-10-19T17:24:38.301,127.0.0.1,127.0.0.1,TCP,141,1
17,2020-10-19T17:24:38.317,127.0.0.1,127.0.0.1,TCP,137,4
18,2020-10-19T17:24:38.317,127.0.0.1,127.0.0.1,TCP,43,2
19,2020-10-19T17:24:38.317,127.0.0.1,127.0.0.1,TCP,43,2
20,2020-10-19T17:24:38.348,127.0.0.1,127.0.0.1,TCP,43,2
21,2020-10-19T17:24:38.364,127.0.0.1,127.0.0.1,TCP,112,0
22,2020-10-19T17:24:38.567,127.0.0.1,127.0.0.1,TCP,141,1
23,2020-10-19T17:24:38.614,127.0.0.1,127.0.0.1,TCP,137,4
24,2020-10-19T17:24:38.614,127.0.0.1,127.0.0.1,TCP,43,2
25,2020-10-19T17:24:38.614,127.0.0.1,127.0.0.1,TCP,43,2
26,2020-10-19T17:24:38.739,127.0.0.1,127.0.0.1,TCP,43,2
27,2020-10-19T17:24:38.952,127.0.0.1,127.0.0.1,TCP,112,0
28,2020-10-19T17:24:39.155,127.0.0.1,127.0.0.1,TCP,141,1
29,2020-10-19T17:24:39.202,127.0.0.1,127.0.0.1,TCP,137,4
30,2020-10-19T17:24:39.202,127.0.0.1,127.0.0.1,TCP,43,2
31,2020-10-19T17:24:39.202,127.0.0.1,127.0.0.1,TCP,43,2
32,2020-10-19T17:24:39.218,127.0.0.1,127.0.0.1,TCP,43,2
33,2020-10-19T17:24:39.311,127.0.0.1,127.0.0.1,TCP,112,0
34,2020-10-19T17:24:39.514,127.0.0.1,127.0.0.1,TCP,141,1
35,2020-10-19T17:24:39.561,127.0.0.1,127.0.0.1,TCP,137,4
36,2020-10-19T17:24:39.561,127.0.0.1,127.0.0.1,TCP,43,2
37,2020-10-19T17:24:39.561,127.0.0.1,127.0.0.1,TCP,43,2
38,2020-10-19T17:24:39.577,127.0.0.1,127.0.0.1,TCP,43,2
39,2020-10-19T17:24:39.593,127.0.0.1,127.0.0.1,TCP,112,0
40,2020-10-19T17:24:39.796,127.0.0.1,127.0.0.1,TCP,141,1
41,2020-10-19T17:24:39.843,127.0.0.1,127.0.0.1,TCP,137,4
42,2020-10-19T17:24:39.843,127.0.0.1,127.0.0.1,TCP,43,2
43,2020-10-19T17:24:39.843,127.0.0.1,127.0.0.1,TCP,43,2
44,2020-10-19T17:24:39.858,127.0.0.1,127.0.0.1,TCP,43,2
45,2020-10-19T17:24:39.858,127.0.0.1,127.0.0.1,TCP,112,0
46,2020-10-19T17:24:40.075,127.0.0.1,127.0.0.1,TCP,141,1
47,2020-10-19T17:24:40.122,127.0.0.1,127.0.0.1,TCP,137,4
48,2020-10-19T17:24:40.122,127.0.0.1,127.0.0.1,TCP,43,2
49,2020-10-19T17:24:40.325,127.0.0.1,127.0.0.1,TCP,43,2
50,2020-10-19T17:24:40.341,127.0.0.1,127.0.0.1,TCP,43,2
51,2020-10-19T17:24:40.356,127.0.0.1,127.0.0.1,TCP,112,0
52,2020-10-19T17:24:40.559,127.0.0.1,127.0.0.1,TCP,141,1
53,2020-10-19T17:24:40.622,127.0.0.1,127.0.0.1,TCP,137,4
54,2020-10-19T17:24:40.622,127.0.0.1,127.0.0.1,TCP,43,2
55,2020-10-19T17:24:40.622,127.0.0.1,127.0.0.1,TCP,43,2
56,2020-10-19T17:24:40.637,127.0.0.1,127.0.0.1,TCP,43,2
57,2020-10-19T17:24:40.653,127.0.0.1,127.0.0.1,TCP,112,0
58,2020-10-19T17:24:40.856,127.0.0.1,127.0.0.1,TCP,141,1
59,2020-10-19T17:24:40.903,127.0.0.1,127.0.0.1,TCP,137,4
60,2020-10-19T17:24:40.903,127.0.0.1,127.0.0.1,TCP,43,2
61,2020-10-19T17:24:40.903,127.0.0.1,127.0.0.1,TCP,43,2
62,2020-10-19T17:24:41.028,127.0.0.1,127.0.0.1,TCP,43,2
63,2020-10-19T17:24:41.144,127.0.0.1,127.0.0.1,TCP,112,0
64,2020-10-19T17:24:41.347,127.0.0.1,127.0.0.1,TCP,141,1
65,2020-10-19T17:24:41.394,127.0.0.1,127.0.0.1,TCP,137,4
66,2020-10-19T17:24:41.394,127.0.0.1,127.0.0.1,TCP,43,2
67,2020-10-19T17:24:41.409,127.0.0.1,127.0.0.1,TCP,43,2
68,2020-10-19T17:24:41.409,127.0.0.1,127.0.0.1,TCP,43,2
69,2020-10-19T17:24:41.488,127.0.0.1,127.0.0.1,TCP,112,0
70,2020-10-19T17:24:41.691,127.0.0.1,127.0.0.1,TCP,141,1
